,Weekday - Level 2 - Diversified (Median) of 100 EVs
537,0.44160000000000005
538,0.44160000000000005
539,0.44160000000000005
540,0.44160000000000005
541,0.44160000000000005
542,0.44160000000000005
543,0.44160000000000005
544,0.44160000000000005
545,0.44160000000000005
546,0.44160000000000005
547,0.44160000000000005
548,0.44160000000000005
549,0.44160000000000005
550,0.44160000000000005
551,0.44160000000000005
552,0.44160000000000005
553,0.44160000000000005
554,0.44160000000000005
555,0.44160000000000005
556,0.5152
557,0.5152
558,0.5152
559,0.5152
560,0.5152
561,0.5152
562,0.5152
563,0.552
564,0.5152
565,0.5152
566,0.5152
567,0.5152
568,0.552
569,0.5152
570,0.5152
571,0.552
572,0.5888
573,0.5888
574,0.5888
575,0.5888
576,0.5888
577,0.5888
578,0.5888
579,0.5888
580,0.5888
581,0.5888
582,0.5888
583,0.5888
584,0.5888
585,0.5888
586,0.5888
587,0.5888
588,0.5888
589,0.5888
590,0.5888
591,0.5888
592,0.5888
593,0.5888
594,0.5888
595,0.5888
596,0.5888
597,0.5888
598,0.5888
599,0.5888
600,0.5888
601,0.5888
602,0.5888
603,0.5888
604,0.5888
605,0.5888
606,0.5888
607,0.5888
608,0.5888
609,0.5888
610,0.5888
611,0.5888
612,0.5888
613,0.5888
614,0.5888
615,0.5888
616,0.5888
617,0.5888
618,0.5888
619,0.5888
620,0.5888
621,0.5888
622,0.5888
623,0.5888
624,0.5888
625,0.5888
626,0.5888
627,0.5888
628,0.5888
629,0.5888
630,0.5888
631,0.5888
632,0.5888
633,0.5888
634,0.5888
635,0.5888
636,0.5888
637,0.5888
638,0.5888
639,0.5888
640,0.5888
641,0.5888
642,0.5888
643,0.5888
644,0.5888
645,0.5888
646,0.5888
647,0.5888
648,0.5888
649,0.5888
650,0.5152
651,0.5152
652,0.5888
653,0.5888
654,0.552
655,0.5152
656,0.5888
657,0.5888
658,0.5888
659,0.5888
660,0.5888
661,0.5888
662,0.5888
663,0.5888
664,0.5888
665,0.5888
666,0.5888
667,0.5888
668,0.5888
669,0.5888
670,0.5888
671,0.5888
672,0.552
673,0.552
674,0.5152
675,0.5152
676,0.5152
677,0.5152
678,0.5152
679,0.5152
680,0.5152
681,0.552
682,0.552
683,0.5888
684,0.5888
685,0.5888
686,0.5888
687,0.5888
688,0.5888
689,0.5888
690,0.6624000000000001
691,0.6624000000000001
692,0.6624000000000001
693,0.6624000000000001
694,0.6624000000000001
695,0.6624000000000001
696,0.6624000000000001
697,0.6624000000000001
698,0.6624000000000001
699,0.6256
700,0.6256
701,0.6624000000000001
702,0.6256
703,0.6256
704,0.6256
705,0.6256
706,0.6624000000000001
707,0.6624000000000001
708,0.6624000000000001
709,0.6624000000000001
710,0.6624000000000001
711,0.6624000000000001
712,0.6624000000000001
713,0.6624000000000001
714,0.6624000000000001
715,0.6624000000000001
716,0.6624000000000001
717,0.6624000000000001
718,0.6624000000000001
719,0.6624000000000001
720,0.6624000000000001
721,0.6624000000000001
722,0.6624000000000001
723,0.6624000000000001
724,0.6624000000000001
725,0.6624000000000001
726,0.6624000000000001
727,0.6624000000000001
728,0.6624000000000001
729,0.6624000000000001
730,0.6624000000000001
731,0.6624000000000001
732,0.6624000000000001
733,0.6624000000000001
734,0.6624000000000001
735,0.6624000000000001
736,0.6624000000000001
737,0.6624000000000001
738,0.6624000000000001
739,0.6624000000000001
740,0.7360000000000001
741,0.7360000000000001
742,0.6992
743,0.6992
744,0.7360000000000001
745,0.7360000000000001
746,0.7360000000000001
747,0.6992
748,0.6992
749,0.6624000000000001
750,0.6992
751,0.6992
752,0.7360000000000001
753,0.6624000000000001
754,0.6624000000000001
755,0.6624000000000001
756,0.6624000000000001
757,0.6624000000000001
758,0.6624000000000001
759,0.6624000000000001
760,0.6624000000000001
761,0.6624000000000001
762,0.6624000000000001
763,0.6624000000000001
764,0.6624000000000001
765,0.6624000000000001
766,0.6624000000000001
767,0.6624000000000001
768,0.6624000000000001
769,0.6624000000000001
770,0.6624000000000001
771,0.6624000000000001
772,0.6624000000000001
773,0.6624000000000001
774,0.6624000000000001
775,0.6624000000000001
776,0.6624000000000001
777,0.6624000000000001
778,0.6624000000000001
779,0.6624000000000001
780,0.6624000000000001
781,0.6624000000000001
782,0.7360000000000001
783,0.7360000000000001
784,0.7360000000000001
785,0.7360000000000001
786,0.7360000000000001
787,0.7360000000000001
788,0.7360000000000001
789,0.7360000000000001
790,0.7360000000000001
791,0.7360000000000001
792,0.7360000000000001
793,0.7360000000000001
794,0.7360000000000001
795,0.7360000000000001
796,0.7360000000000001
797,0.6624000000000001
798,0.6624000000000001
799,0.7360000000000001
800,0.7360000000000001
801,0.7360000000000001
802,0.7360000000000001
803,0.7360000000000001
804,0.7360000000000001
805,0.7360000000000001
806,0.7360000000000001
807,0.7360000000000001
808,0.7360000000000001
809,0.7360000000000001
810,0.7360000000000001
811,0.7360000000000001
812,0.7360000000000001
813,0.7360000000000001
814,0.7360000000000001
815,0.7360000000000001
816,0.7360000000000001
817,0.7360000000000001
818,0.7360000000000001
819,0.7360000000000001
820,0.7360000000000001
821,0.7360000000000001
822,0.7360000000000001
823,0.7360000000000001
824,0.7360000000000001
825,0.7360000000000001
826,0.7360000000000001
827,0.7360000000000001
828,0.7360000000000001
829,0.7360000000000001
830,0.7360000000000001
831,0.7360000000000001
832,0.8096000000000001
833,0.7360000000000001
834,0.7360000000000001
835,0.7360000000000001
836,0.7728000000000002
837,0.7728000000000002
838,0.7728000000000002
839,0.7728000000000002
840,0.7728000000000002
841,0.7728000000000002
842,0.7360000000000001
843,0.7360000000000001
844,0.7360000000000001
845,0.7360000000000001
846,0.7360000000000001
847,0.7360000000000001
848,0.7728000000000002
849,0.8096000000000001
850,0.8096000000000001
851,0.8096000000000001
852,0.8096000000000001
853,0.8096000000000001
854,0.8096000000000001
855,0.8096000000000001
856,0.8096000000000001
857,0.8096000000000001
858,0.8096000000000001
859,0.8096000000000001
860,0.8096000000000001
861,0.8096000000000001
862,0.8096000000000001
863,0.8096000000000001
864,0.8832000000000001
865,0.8832000000000001
866,0.8832000000000001
867,0.8464
868,0.8464
869,0.8464
870,0.8464
871,0.8464
872,0.8832000000000001
873,0.8832000000000001
874,0.8832000000000001
875,0.8832000000000001
876,0.8832000000000001
877,0.8832000000000001
878,0.8832000000000001
879,0.8832000000000001
880,0.8832000000000001
881,0.8832000000000001
882,0.8832000000000001
883,0.8464
884,0.8464
885,0.8832000000000001
886,0.8832000000000001
887,0.8832000000000001
888,0.8832000000000001
889,0.8832000000000001
890,0.8832000000000001
891,0.8832000000000001
892,0.8832000000000001
893,0.8832000000000001
894,0.8096000000000001
895,0.8096000000000001
896,0.8096000000000001
897,0.8096000000000001
898,0.8096000000000001
899,0.8096000000000001
900,0.8096000000000001
901,0.8096000000000001
902,0.8096000000000001
903,0.8096000000000001
