,Weekend - Level 2 - Diversified (Median) of 100 EVs
528,0.22080000000000002
529,0.22080000000000002
530,0.22080000000000002
531,0.22080000000000002
532,0.22080000000000002
533,0.22080000000000002
534,0.2576
535,0.22080000000000002
536,0.22080000000000002
537,0.22080000000000002
538,0.2576
539,0.2576
540,0.2944
541,0.2944
542,0.2944
543,0.2944
544,0.2944
545,0.2944
546,0.2944
547,0.2944
548,0.2944
549,0.2944
550,0.2944
551,0.2944
552,0.2944
553,0.2944
554,0.2944
555,0.2944
556,0.2944
557,0.2944
558,0.2944
559,0.2944
560,0.36800000000000005
561,0.36800000000000005
562,0.36800000000000005
563,0.2944
564,0.36800000000000005
565,0.36800000000000005
566,0.36800000000000005
567,0.36800000000000005
568,0.36800000000000005
569,0.36800000000000005
570,0.36800000000000005
571,0.36800000000000005
572,0.36800000000000005
573,0.36800000000000005
574,0.36800000000000005
575,0.36800000000000005
576,0.36800000000000005
577,0.36800000000000005
578,0.36800000000000005
579,0.36800000000000005
580,0.36800000000000005
581,0.36800000000000005
582,0.36800000000000005
583,0.36800000000000005
584,0.36800000000000005
585,0.40480000000000005
586,0.44160000000000005
587,0.44160000000000005
588,0.44160000000000005
589,0.44160000000000005
590,0.44160000000000005
591,0.44160000000000005
592,0.44160000000000005
593,0.44160000000000005
594,0.44160000000000005
595,0.44160000000000005
596,0.44160000000000005
597,0.44160000000000005
598,0.44160000000000005
599,0.44160000000000005
600,0.44160000000000005
601,0.5152
602,0.5152
603,0.5152
604,0.5152
605,0.47840000000000005
606,0.47840000000000005
607,0.5152
608,0.5152
609,0.5152
610,0.5152
611,0.5152
612,0.5152
613,0.5152
614,0.5152
615,0.5152
616,0.5152
617,0.5152
618,0.5152
619,0.5152
620,0.5152
621,0.5152
622,0.5888
623,0.5888
624,0.5888
625,0.5888
626,0.5888
627,0.5888
628,0.5888
629,0.5888
630,0.5888
631,0.5888
632,0.5888
633,0.5888
634,0.5888
635,0.5888
636,0.5888
637,0.5888
638,0.5888
639,0.5888
640,0.6624000000000001
641,0.6624000000000001
642,0.6624000000000001
643,0.6624000000000001
644,0.6624000000000001
645,0.6624000000000001
646,0.6624000000000001
647,0.6624000000000001
648,0.6624000000000001
649,0.6624000000000001
650,0.7360000000000001
651,0.6624000000000001
652,0.6624000000000001
653,0.6624000000000001
654,0.6992
655,0.6624000000000001
656,0.6624000000000001
657,0.6624000000000001
658,0.6992
659,0.7360000000000001
660,0.6992
661,0.6992
662,0.6992
663,0.7360000000000001
664,0.7360000000000001
665,0.7360000000000001
666,0.7360000000000001
667,0.7360000000000001
668,0.7360000000000001
669,0.7360000000000001
670,0.7360000000000001
671,0.7360000000000001
672,0.7360000000000001
673,0.7360000000000001
674,0.7360000000000001
675,0.7360000000000001
676,0.7360000000000001
677,0.7360000000000001
678,0.7360000000000001
679,0.7360000000000001
680,0.7360000000000001
681,0.7360000000000001
682,0.8096000000000001
683,0.8096000000000001
684,0.8096000000000001
685,0.8096000000000001
686,0.8096000000000001
687,0.8096000000000001
688,0.8096000000000001
689,0.8096000000000001
690,0.8096000000000001
691,0.8096000000000001
692,0.8096000000000001
693,0.8464
694,0.8832000000000001
695,0.8832000000000001
696,0.8832000000000001
697,0.8832000000000001
698,0.8832000000000001
699,0.8832000000000001
700,0.8832000000000001
701,0.8832000000000001
702,0.8832000000000001
703,0.8832000000000001
704,0.8832000000000001
705,0.9200000000000002
706,0.9568000000000001
707,0.9200000000000002
708,0.9568000000000001
709,0.8832000000000001
710,0.9568000000000001
711,0.9568000000000001
712,0.9200000000000002
713,0.9200000000000002
714,0.9200000000000002
715,0.8832000000000001
716,0.8832000000000001
717,0.8832000000000001
718,0.9200000000000002
719,0.8832000000000001
720,0.9568000000000001
721,0.9568000000000001
722,0.9568000000000001
723,0.9568000000000001
724,0.9568000000000001
725,0.9568000000000001
726,0.9568000000000001
727,0.9568000000000001
728,0.9568000000000001
729,0.9568000000000001
730,0.9568000000000001
731,0.9568000000000001
732,0.8832000000000001
733,0.9568000000000001
734,0.9568000000000001
735,0.9936
736,0.9568000000000001
737,0.9568000000000001
738,0.9568000000000001
739,1.0304
740,1.0304
741,0.9568000000000001
742,1.0304
743,1.0304
744,1.0304
745,1.0304
746,1.0304
747,1.0304
748,1.0304
749,1.0304
750,1.0304
751,1.0304
752,1.104
753,1.0672000000000001
754,1.104
755,1.104
756,1.104
757,1.104
758,1.104
759,1.104
760,1.104
761,1.104
762,1.104
763,1.104
764,1.104
765,1.104
766,1.104
767,1.104
768,1.104
769,1.104
770,1.104
771,1.104
772,1.104
773,1.104
774,1.104
775,1.104
776,1.104
777,1.104
778,1.104
779,1.104
780,1.104
781,1.104
782,1.104
783,1.104
784,1.104
785,1.104
786,1.1776
787,1.104
788,1.104
789,1.104
790,1.1776
791,1.1776
792,1.1776
793,1.1776
794,1.1776
795,1.1776
796,1.1776
797,1.1776
798,1.1776
799,1.1776
800,1.1776
801,1.1776
802,1.1776
803,1.1776
804,1.2512
805,1.2512
806,1.1776
807,1.1776
808,1.1776
809,1.1776
810,1.1776
811,1.1776
812,1.1776
813,1.1776
814,1.1776
815,1.1776
816,1.2144
817,1.2144
818,1.2144
819,1.2144
820,1.1776
821,1.2144
822,1.2512
823,1.2512
824,1.2144
825,1.2512
826,1.2512
827,1.2512
828,1.2512
829,1.1776
830,1.2144
831,1.2512
832,1.2512
833,1.2512
834,1.2512
835,1.2512
836,1.1776
837,1.1776
838,1.2144
839,1.1776
840,1.2144
841,1.1776
842,1.1776
843,1.1776
844,1.1776
845,1.2144
846,1.2512
847,1.2512
848,1.2512
849,1.2512
850,1.2512
851,1.2512
852,1.2512
853,1.2512
854,1.2512
855,1.2512
856,1.2512
857,1.2512
858,1.2512
859,1.2512
860,1.2512
861,1.2512
862,1.2512
863,1.2512
864,1.2512
865,1.2512
866,1.2512
867,1.2512
868,1.2880000000000003
869,1.2512
870,1.2512
871,1.2512
872,1.2512
873,1.2512
874,1.2512
875,1.2512
876,1.2512
877,1.2512
878,1.2512
879,1.2512
880,1.2512
881,1.2512
882,1.2512
883,1.2512
884,1.2512
885,1.2512
886,1.2512
887,1.2512
888,1.2512
889,1.2512
890,1.2512
891,1.2512
892,1.2512
893,1.2512
894,1.2512
895,1.2512
896,1.2512
897,1.2512
898,1.2512
899,1.2512
900,1.2512
901,1.2512
902,1.2512
903,1.2512
904,1.2512
905,1.2512
906,1.2512
907,1.2512
908,1.2512
909,1.2512
910,1.2512
911,1.2880000000000003
912,1.3248000000000002
913,1.3248000000000002
914,1.3248000000000002
915,1.3248000000000002
916,1.3248000000000002
917,1.3248000000000002
918,1.3248000000000002
919,1.3248000000000002
920,1.3248000000000002
921,1.3248000000000002
922,1.3248000000000002
923,1.3984000000000003
924,1.3248000000000002
925,1.3248000000000002
926,1.3248000000000002
927,1.3248000000000002
928,1.3248000000000002
929,1.2512
930,1.2512
931,1.3248000000000002
932,1.3248000000000002
933,1.3248000000000002
934,1.3248000000000002
935,1.3248000000000002
936,1.3248000000000002
937,1.3248000000000002
938,1.3248000000000002
939,1.3248000000000002
940,1.3616000000000001
941,1.3984000000000003
942,1.3984000000000003
943,1.3984000000000003
944,1.3984000000000003
945,1.3984000000000003
946,1.3984000000000003
947,1.3984000000000003
948,1.3984000000000003
949,1.3984000000000003
950,1.4720000000000004
951,1.4352000000000005
952,1.3984000000000003
953,1.3984000000000003
954,1.3984000000000003
955,1.3984000000000003
956,1.3984000000000003
957,1.3984000000000003
958,1.3984000000000003
959,1.3984000000000003
960,1.3984000000000003
961,1.4352000000000005
962,1.4720000000000004
963,1.4720000000000004
964,1.4720000000000004
965,1.4720000000000004
966,1.4720000000000004
967,1.4720000000000004
968,1.4720000000000004
969,1.4720000000000004
970,1.4720000000000004
971,1.4720000000000004
972,1.4720000000000004
973,1.5456000000000005
974,1.4720000000000004
975,1.4720000000000004
976,1.5456000000000005
977,1.5456000000000005
978,1.5456000000000005
979,1.5456000000000005
980,1.5456000000000005
981,1.5456000000000005
982,1.5456000000000005
983,1.6192000000000006
984,1.6192000000000006
985,1.6192000000000006
986,1.6192000000000006
987,1.6192000000000006
988,1.6192000000000006
989,1.6192000000000006
990,1.6192000000000006
991,1.6192000000000006
992,1.6192000000000006
993,1.6192000000000006
994,1.6192000000000006
995,1.6192000000000006
996,1.6192000000000006
997,1.6192000000000006
998,1.6192000000000006
999,1.6192000000000006
1000,1.6192000000000006
1001,1.6192000000000006
1002,1.6192000000000006
1003,1.6192000000000006
1004,1.6192000000000006
1005,1.6560000000000008
1006,1.692800000000001
1007,1.692800000000001
1008,1.6192000000000006
1009,1.6192000000000006
1010,1.6192000000000006
1011,1.6192000000000006
1012,1.6560000000000008
1013,1.6192000000000006
1014,1.6560000000000008
1015,1.6192000000000006
1016,1.6192000000000006
1017,1.6192000000000006
1018,1.6192000000000006
1019,1.6192000000000006
1020,1.6192000000000006
1021,1.5456000000000005
1022,1.5456000000000005
1023,1.5824000000000007
1024,1.5824000000000007
1025,1.5824000000000007
1026,1.6192000000000006
1027,1.6192000000000006
1028,1.6192000000000006
1029,1.6192000000000006
1030,1.6192000000000006
1031,1.6192000000000006
1032,1.6192000000000006
1033,1.5456000000000005
1034,1.6192000000000006
1035,1.6192000000000006
1036,1.6192000000000006
1037,1.5824000000000007
1038,1.5456000000000005
1039,1.6192000000000006
1040,1.5824000000000007
1041,1.6192000000000006
1042,1.6192000000000006
1043,1.5824000000000007
1044,1.6192000000000006
1045,1.6192000000000006
1046,1.5824000000000007
1047,1.5456000000000005
1048,1.5456000000000005
1049,1.6192000000000006
1050,1.6192000000000006
1051,1.5456000000000005
1052,1.5456000000000005
1053,1.5456000000000005
1054,1.5456000000000005
1055,1.5456000000000005
1056,1.5456000000000005
1057,1.5456000000000005
1058,1.5456000000000005
1059,1.5456000000000005
1060,1.5456000000000005
1061,1.5456000000000005
1062,1.5088000000000004
1063,1.4720000000000004
1064,1.4720000000000004
1065,1.4720000000000004
1066,1.4720000000000004
1067,1.4720000000000004
1068,1.4720000000000004
1069,1.4720000000000004
1070,1.4720000000000004
1071,1.4720000000000004
1072,1.4720000000000004
1073,1.4720000000000004
1074,1.4720000000000004
1075,1.4720000000000004
1076,1.4720000000000004
1077,1.4720000000000004
1078,1.4720000000000004
1079,1.4720000000000004
1080,1.4720000000000004
1081,1.4720000000000004
1082,1.4720000000000004
1083,1.4720000000000004
1084,1.4720000000000004
1085,1.4720000000000004
1086,1.4720000000000004
1087,1.4720000000000004
1088,1.4720000000000004
1089,1.4720000000000004
1090,1.4720000000000004
1091,1.4720000000000004
1092,1.4720000000000004
1093,1.4720000000000004
1094,1.3984000000000003
1095,1.3984000000000003
1096,1.3984000000000003
1097,1.3984000000000003
1098,1.3984000000000003
1099,1.4352000000000005
1100,1.4352000000000005
1101,1.4352000000000005
1102,1.3984000000000003
1103,1.4352000000000005
1104,1.3984000000000003
1105,1.4720000000000004
1106,1.4352000000000005
1107,1.3984000000000003
1108,1.4352000000000005
1109,1.3984000000000003
1110,1.3984000000000003
1111,1.4720000000000004
1112,1.4720000000000004
1113,1.5088000000000004
1114,1.5088000000000004
1115,1.5088000000000004
1116,1.4720000000000004
1117,1.4720000000000004
1118,1.4720000000000004
1119,1.4720000000000004
1120,1.4720000000000004
1121,1.4720000000000004
1122,1.4720000000000004
1123,1.3984000000000003
1124,1.4720000000000004
1125,1.4720000000000004
1126,1.4720000000000004
1127,1.4720000000000004
1128,1.5456000000000005
1129,1.5456000000000005
1130,1.5456000000000005
1131,1.5456000000000005
1132,1.5456000000000005
1133,1.5456000000000005
1134,1.5456000000000005
1135,1.5456000000000005
1136,1.5456000000000005
1137,1.4720000000000004
1138,1.4720000000000004
1139,1.4720000000000004
1140,1.4720000000000004
1141,1.4720000000000004
1142,1.5456000000000005
1143,1.5456000000000005
1144,1.5456000000000005
1145,1.5456000000000005
1146,1.5456000000000005
1147,1.5456000000000005
1148,1.5456000000000005
1149,1.5456000000000005
1150,1.5456000000000005
1151,1.5456000000000005
1152,1.5456000000000005
1153,1.5456000000000005
1154,1.5456000000000005
1155,1.5456000000000005
1156,1.5456000000000005
1157,1.5456000000000005
1158,1.5456000000000005
1159,1.5456000000000005
1160,1.5456000000000005
1161,1.5456000000000005
1162,1.5456000000000005
1163,1.5456000000000005
1164,1.5456000000000005
1165,1.5456000000000005
1166,1.5456000000000005
1167,1.5456000000000005
1168,1.5824000000000007
1169,1.5456000000000005
1170,1.5456000000000005
1171,1.5456000000000005
1172,1.5456000000000005
