,Weekend - Level 2 - Diversified (Median) of 100 EVs
363,0.051519999999999996
364,0.051519999999999996
365,0.051519999999999996
366,0.051519999999999996
367,0.051519999999999996
368,0.051519999999999996
369,0.051519999999999996
370,0.051519999999999996
371,0.051519999999999996
372,0.051519999999999996
373,0.051519999999999996
374,0.051519999999999996
375,0.051519999999999996
376,0.051519999999999996
377,0.051519999999999996
378,0.051519999999999996
379,0.051519999999999996
380,0.051519999999999996
381,0.051519999999999996
382,0.051519999999999996
383,0.051519999999999996
384,0.051519999999999996
385,0.051519999999999996
386,0.051519999999999996
387,0.051519999999999996
388,0.051519999999999996
389,0.051519999999999996
390,0.051519999999999996
391,0.051519999999999996
392,0.051519999999999996
393,0.051519999999999996
394,0.051519999999999996
395,0.051519999999999996
396,0.051519999999999996
397,0.051519999999999996
398,0.051519999999999996
399,0.051519999999999996
400,0.051519999999999996
401,0.051519999999999996
402,0.051519999999999996
403,0.051519999999999996
404,0.051519999999999996
405,0.051519999999999996
406,0.051519999999999996
407,0.051519999999999996
408,0.051519999999999996
409,0.051519999999999996
410,0.051519999999999996
411,0.051519999999999996
412,0.051519999999999996
413,0.051519999999999996
414,0.051519999999999996
415,0.051519999999999996
416,0.051519999999999996
417,0.051519999999999996
418,0.051519999999999996
419,0.051519999999999996
420,0.051519999999999996
421,0.051519999999999996
422,0.051519999999999996
423,0.051519999999999996
424,0.051519999999999996
425,0.051519999999999996
426,0.051519999999999996
427,0.051519999999999996
428,0.051519999999999996
429,0.051519999999999996
430,0.051519999999999996
431,0.051519999999999996
432,0.051519999999999996
433,0.051519999999999996
434,0.051519999999999996
435,0.051519999999999996
436,0.051519999999999996
437,0.051519999999999996
438,0.051519999999999996
439,0.051519999999999996
440,0.051519999999999996
441,0.051519999999999996
442,0.051519999999999996
443,0.051519999999999996
444,0.051519999999999996
445,0.051519999999999996
446,0.051519999999999996
447,0.051519999999999996
448,0.051519999999999996
449,0.051519999999999996
450,0.051519999999999996
451,0.051519999999999996
452,0.051519999999999996
453,0.051519999999999996
454,0.051519999999999996
455,0.051519999999999996
456,0.051519999999999996
457,0.051519999999999996
458,0.051519999999999996
459,0.051519999999999996
460,0.051519999999999996
461,0.051519999999999996
462,0.051519999999999996
463,0.051519999999999996
464,0.051519999999999996
465,0.051519999999999996
466,0.051519999999999996
467,0.051519999999999996
468,0.10303999999999999
469,0.10303999999999999
470,0.10303999999999999
471,0.10303999999999999
472,0.10303999999999999
473,0.10303999999999999
474,0.10303999999999999
475,0.10303999999999999
476,0.10303999999999999
477,0.10303999999999999
478,0.10303999999999999
479,0.10303999999999999
480,0.10303999999999999
481,0.10303999999999999
482,0.10303999999999999
483,0.10303999999999999
484,0.10303999999999999
485,0.10303999999999999
486,0.10303999999999999
487,0.10303999999999999
488,0.10303999999999999
489,0.10303999999999999
490,0.10303999999999999
491,0.10303999999999999
492,0.10303999999999999
493,0.10303999999999999
494,0.10303999999999999
495,0.10303999999999999
496,0.10303999999999999
497,0.10303999999999999
498,0.10303999999999999
499,0.10303999999999999
500,0.10303999999999999
501,0.10303999999999999
502,0.10303999999999999
503,0.10303999999999999
504,0.10303999999999999
505,0.10303999999999999
506,0.10303999999999999
507,0.10303999999999999
508,0.10303999999999999
509,0.10303999999999999
510,0.10303999999999999
511,0.15456
512,0.15456
513,0.15456
514,0.15456
515,0.15456
516,0.15456
517,0.1288
518,0.1288
519,0.15456
520,0.15456
521,0.15456
522,0.15456
523,0.15456
524,0.15456
525,0.15456
526,0.15456
527,0.15456
528,0.15456
529,0.15456
530,0.15456
531,0.15456
532,0.15456
533,0.15456
534,0.18031999999999998
535,0.15456
536,0.15456
537,0.15456
