,Weekday - Level 2 - Diversified (Median) of 100 EVs
969,0.66976
970,0.66976
971,0.66976
972,0.66976
973,0.66976
974,0.7212799999999999
975,0.7212799999999999
976,0.6955199999999999
977,0.66976
978,0.66976
979,0.66976
980,0.66976
981,0.7212799999999999
982,0.7212799999999999
983,0.7212799999999999
984,0.6955199999999999
985,0.7212799999999999
986,0.6955199999999999
987,0.66976
988,0.66976
989,0.66976
990,0.66976
991,0.66976
992,0.66976
993,0.66976
994,0.66976
995,0.66976
996,0.66976
997,0.7212799999999999
998,0.7212799999999999
999,0.7212799999999999
1000,0.7212799999999999
1001,0.66976
1002,0.7212799999999999
1003,0.7212799999999999
1004,0.7212799999999999
1005,0.7212799999999999
1006,0.7212799999999999
1007,0.7212799999999999
1008,0.7212799999999999
1009,0.7212799999999999
1010,0.7212799999999999
1011,0.7212799999999999
1012,0.7212799999999999
1013,0.7212799999999999
1014,0.7212799999999999
1015,0.7212799999999999
1016,0.7212799999999999
1017,0.7212799999999999
1018,0.7212799999999999
1019,0.7212799999999999
1020,0.7212799999999999
1021,0.7728
1022,0.7728
1023,0.7728
1024,0.7728
1025,0.7728
1026,0.7728
1027,0.7728
1028,0.8243199999999999
1029,0.8243199999999999
1030,0.8243199999999999
1031,0.8243199999999999
1032,0.8243199999999999
1033,0.8243199999999999
1034,0.8243199999999999
1035,0.87584
1036,0.87584
1037,0.87584
1038,0.9016
1039,0.9273600000000001
1040,0.9273600000000001
1041,0.9273600000000001
1042,0.9273600000000001
1043,0.9273600000000001
1044,0.9273600000000001
1045,0.9273600000000001
1046,0.9273600000000001
1047,0.9273600000000001
1048,0.9273600000000001
1049,0.9531200000000002
1050,0.9788800000000002
1051,0.9788800000000002
1052,0.9788800000000002
1053,0.9788800000000002
1054,1.0304000000000002
1055,1.0304000000000002
1056,1.0304000000000002
1057,1.0304000000000002
1058,1.0304000000000002
1059,1.0304000000000002
1060,1.0304000000000002
1061,1.0304000000000002
1062,1.0304000000000002
1063,1.0561600000000002
1064,1.0819200000000002
1065,1.0819200000000002
1066,1.0819200000000002
1067,1.0819200000000002
1068,1.0819200000000002
1069,1.1334400000000004
1070,1.1334400000000004
1071,1.1334400000000004
1072,1.1334400000000004
1073,1.1334400000000004
1074,1.1334400000000004
1075,1.1334400000000004
1076,1.1849600000000007
1077,1.1849600000000007
1078,1.1849600000000007
1079,1.1849600000000007
1080,1.1849600000000007
1081,1.1849600000000007
1082,1.1849600000000007
1083,1.1849600000000007
1084,1.1849600000000007
1085,1.1849600000000007
1086,1.1849600000000007
1087,1.1849600000000007
1088,1.1849600000000007
1089,1.1849600000000007
1090,1.1849600000000007
1091,1.1849600000000007
1092,1.1849600000000007
1093,1.1849600000000007
1094,1.2364800000000007
1095,1.2364800000000007
1096,1.2364800000000007
1097,1.2364800000000007
1098,1.2364800000000007
1099,1.2364800000000007
1100,1.2364800000000007
1101,1.2364800000000007
1102,1.2364800000000007
1103,1.2364800000000007
1104,1.2880000000000007
1105,1.2880000000000007
1106,1.2880000000000007
1107,1.2880000000000007
1108,1.2880000000000007
1109,1.339520000000001
1110,1.3137600000000007
1111,1.2880000000000007
1112,1.2880000000000007
1113,1.2880000000000007
1114,1.2880000000000007
1115,1.2880000000000007
1116,1.2880000000000007
1117,1.2880000000000007
1118,1.2880000000000007
1119,1.2880000000000007
1120,1.2880000000000007
1121,1.2880000000000007
1122,1.339520000000001
1123,1.339520000000001
1124,1.339520000000001
1125,1.339520000000001
1126,1.339520000000001
1127,1.339520000000001
1128,1.339520000000001
1129,1.339520000000001
1130,1.391040000000001
1131,1.391040000000001
1132,1.391040000000001
1133,1.391040000000001
1134,1.391040000000001
1135,1.391040000000001
1136,1.391040000000001
1137,1.391040000000001
1138,1.391040000000001
1139,1.391040000000001
1140,1.4168000000000012
1141,1.4168000000000012
1142,1.391040000000001
1143,1.4425600000000012
1144,1.4425600000000012
1145,1.4425600000000012
1146,1.4425600000000012
1147,1.4425600000000012
1148,1.4425600000000012
1149,1.4425600000000012
1150,1.4425600000000012
1151,1.4425600000000012
1152,1.494080000000001
1153,1.494080000000001
1154,1.4683200000000012
1155,1.494080000000001
1156,1.494080000000001
1157,1.494080000000001
1158,1.494080000000001
1159,1.4425600000000012
1160,1.4425600000000012
1161,1.4425600000000012
1162,1.4425600000000012
1163,1.391040000000001
1164,1.4168000000000012
1165,1.4168000000000012
1166,1.391040000000001
1167,1.391040000000001
1168,1.4425600000000012
1169,1.4425600000000012
1170,1.4425600000000012
1171,1.4425600000000012
1172,1.4425600000000012
1173,1.4425600000000012
1174,1.4425600000000012
1175,1.4425600000000012
1176,1.4425600000000012
1177,1.4425600000000012
1178,1.4683200000000012
1179,1.4425600000000012
1180,1.4425600000000012
1181,1.4425600000000012
1182,1.4425600000000012
1183,1.4168000000000012
1184,1.391040000000001
1185,1.4425600000000012
1186,1.4425600000000012
1187,1.4425600000000012
1188,1.4425600000000012
1189,1.4425600000000012
1190,1.4425600000000012
1191,1.4425600000000012
1192,1.4425600000000012
1193,1.4425600000000012
1194,1.4683200000000012
1195,1.494080000000001
1196,1.4425600000000012
1197,1.4425600000000012
1198,1.4425600000000012
1199,1.4425600000000012
1200,1.4425600000000012
1201,1.4425600000000012
1202,1.4425600000000012
1203,1.4425600000000012
1204,1.4425600000000012
1205,1.4425600000000012
1206,1.4425600000000012
1207,1.4425600000000012
