,"Weekday - Level 2 - Diversified (Average) of 1,200 EVs"
670,0.42933333333333396
671,0.42504000000000064
672,0.40786666666666727
673,0.40786666666666727
674,0.40357333333333395
675,0.40357333333333395
676,0.39928000000000063
677,0.39928000000000063
678,0.39928000000000063
679,0.3949866666666672
680,0.3949866666666672
681,0.40786666666666727
682,0.40786666666666727
683,0.4121600000000006
684,0.4207466666666673
685,0.4207466666666673
686,0.4207466666666673
687,0.42933333333333396
688,0.42504000000000064
689,0.4336266666666673
690,0.44650666666666733
691,0.44650666666666733
692,0.4508000000000007
693,0.4508000000000007
694,0.455093333333334
695,0.455093333333334
696,0.4508000000000007
697,0.455093333333334
698,0.455093333333334
699,0.44650666666666733
700,0.455093333333334
701,0.4679733333333341
702,0.4508000000000007
703,0.4508000000000007
704,0.4508000000000007
705,0.4508000000000007
706,0.4508000000000007
707,0.4508000000000007
708,0.455093333333334
709,0.455093333333334
710,0.45938666666666733
711,0.45938666666666733
712,0.455093333333334
713,0.45938666666666733
714,0.46368000000000065
715,0.46368000000000065
716,0.4679733333333341
717,0.4722666666666674
718,0.4765600000000007
719,0.4722666666666674
720,0.4722666666666674
721,0.46368000000000065
722,0.45938666666666733
723,0.46368000000000065
724,0.4679733333333341
725,0.4679733333333341
726,0.4722666666666674
727,0.46368000000000065
728,0.46368000000000065
729,0.4679733333333341
730,0.4679733333333341
731,0.4679733333333341
732,0.4679733333333341
733,0.4679733333333341
734,0.4722666666666674
735,0.4722666666666674
736,0.4722666666666674
737,0.4851466666666674
738,0.480853333333334
739,0.480853333333334
740,0.48944000000000076
741,0.4851466666666674
742,0.480853333333334
743,0.4851466666666674
744,0.48944000000000076
745,0.4937333333333341
746,0.4937333333333341
747,0.48944000000000076
748,0.48944000000000076
749,0.480853333333334
750,0.4851466666666674
751,0.4851466666666674
752,0.4851466666666674
753,0.4765600000000007
754,0.4722666666666674
755,0.4722666666666674
756,0.45938666666666733
757,0.45938666666666733
758,0.46368000000000065
759,0.45938666666666733
760,0.4508000000000007
761,0.455093333333334
762,0.455093333333334
763,0.455093333333334
764,0.4679733333333341
765,0.4679733333333341
766,0.4765600000000007
767,0.480853333333334
768,0.4765600000000007
769,0.4765600000000007
770,0.4722666666666674
771,0.4765600000000007
772,0.4722666666666674
773,0.4679733333333341
774,0.4722666666666674
775,0.4679733333333341
776,0.4679733333333341
777,0.4765600000000007
778,0.4765600000000007
779,0.4765600000000007
780,0.4722666666666674
781,0.4765600000000007
782,0.4851466666666674
783,0.4937333333333341
784,0.4937333333333341
785,0.49802666666666745
786,0.49802666666666745
787,0.4937333333333341
788,0.4937333333333341
789,0.48944000000000076
790,0.4851466666666674
791,0.48944000000000076
792,0.4937333333333341
793,0.49802666666666745
794,0.5023200000000008
795,0.5023200000000008
796,0.49802666666666745
797,0.480853333333334
798,0.480853333333334
799,0.48944000000000076
800,0.4937333333333341
801,0.49802666666666745
802,0.4937333333333341
803,0.4937333333333341
804,0.48944000000000076
805,0.4937333333333341
806,0.4851466666666674
807,0.4937333333333341
808,0.5023200000000008
809,0.49802666666666745
810,0.5066133333333341
811,0.5109066666666675
812,0.5109066666666675
813,0.5109066666666675
814,0.5109066666666675
815,0.5066133333333341
816,0.5023200000000008
817,0.5023200000000008
818,0.5066133333333341
819,0.5109066666666675
820,0.5109066666666675
821,0.5109066666666675
822,0.5109066666666675
823,0.5152000000000008
824,0.5237866666666675
825,0.5237866666666675
826,0.5237866666666675
827,0.5194933333333341
828,0.5152000000000008
829,0.5237866666666675
830,0.5237866666666675
831,0.5237866666666675
832,0.5323733333333341
833,0.5323733333333341
834,0.5323733333333341
835,0.5452533333333341
836,0.5495466666666675
837,0.5538400000000008
838,0.5538400000000008
839,0.5538400000000008
840,0.5538400000000008
841,0.5452533333333341
842,0.5409600000000009
843,0.5452533333333341
844,0.5452533333333341
845,0.5409600000000009
846,0.5409600000000009
847,0.5366666666666675
848,0.5538400000000008
849,0.5624266666666675
850,0.5710133333333343
851,0.5667200000000009
852,0.5710133333333343
853,0.5753066666666675
854,0.5796000000000009
855,0.5796000000000009
856,0.5838933333333343
857,0.5838933333333343
858,0.5753066666666675
859,0.5667200000000009
860,0.5838933333333343
861,0.5796000000000009
862,0.5796000000000009
863,0.5796000000000009
864,0.5838933333333343
865,0.5924800000000009
866,0.5881866666666676
867,0.5838933333333343
868,0.5796000000000009
869,0.5796000000000009
870,0.5796000000000009
871,0.5838933333333343
872,0.6053600000000009
873,0.6096533333333342
874,0.6096533333333342
875,0.6096533333333342
876,0.5967733333333343
877,0.5967733333333343
878,0.6010666666666675
879,0.6010666666666675
880,0.6010666666666675
881,0.5924800000000009
882,0.5881866666666676
883,0.5796000000000009
884,0.5796000000000009
885,0.5967733333333343
886,0.6010666666666675
887,0.6010666666666675
888,0.6053600000000009
889,0.6010666666666675
890,0.6010666666666675
891,0.5924800000000009
892,0.5967733333333343
893,0.5967733333333343
894,0.5838933333333343
895,0.5753066666666675
896,0.5710133333333343
897,0.5796000000000009
898,0.5796000000000009
899,0.5796000000000009
900,0.5667200000000009
901,0.5710133333333343
902,0.5710133333333343
903,0.5667200000000009
904,0.5667200000000009
905,0.5667200000000009
906,0.5710133333333343
907,0.5667200000000009
908,0.5753066666666675
909,0.5796000000000009
910,0.5796000000000009
911,0.5796000000000009
912,0.5796000000000009
913,0.5881866666666676
914,0.5881866666666676
915,0.5881866666666676
916,0.5924800000000009
917,0.5924800000000009
918,0.5881866666666676
919,0.6010666666666675
920,0.6010666666666675
921,0.6010666666666675
922,0.6010666666666675
923,0.6010666666666675
924,0.6010666666666675
925,0.5967733333333343
926,0.5967733333333343
927,0.5924800000000009
928,0.5967733333333343
929,0.6053600000000009
930,0.6182400000000007
931,0.6225333333333339
932,0.6225333333333339
933,0.6311200000000006
934,0.6397066666666671
935,0.6354133333333338
936,0.6397066666666671
937,0.6440000000000003
938,0.6525866666666669
939,0.6525866666666669
940,0.6568800000000002
941,0.6482933333333336
942,0.6525866666666669
943,0.6611733333333335
944,0.6654666666666667
945,0.6740533333333333
946,0.6740533333333333
947,0.6826399999999998
948,0.66976
949,0.6654666666666667
950,0.66976
951,0.6740533333333333
952,0.6740533333333333
953,0.6654666666666667
954,0.6611733333333335
955,0.6611733333333335
956,0.66976
957,0.6611733333333335
958,0.6654666666666667
959,0.6740533333333333
960,0.66976
961,0.6783466666666665
962,0.6783466666666665
963,0.6826399999999998
964,0.6826399999999998
965,0.6740533333333333
966,0.6654666666666667
967,0.6611733333333335
968,0.6654666666666667
969,0.6654666666666667
970,0.6740533333333333
971,0.6740533333333333
972,0.6826399999999998
973,0.6869333333333331
974,0.6912266666666663
975,0.699813333333333
976,0.6955199999999997
977,0.6912266666666663
978,0.6783466666666665
979,0.6869333333333331
980,0.6826399999999998
981,0.6955199999999997
982,0.6955199999999997
983,0.6955199999999997
984,0.6912266666666663
985,0.6955199999999997
986,0.7041066666666662
987,0.699813333333333
988,0.6912266666666663
989,0.699813333333333
990,0.699813333333333
991,0.6912266666666663
992,0.6869333333333331
993,0.6869333333333331
994,0.6869333333333331
995,0.6912266666666663
996,0.6955199999999997
997,0.716986666666666
998,0.7212799999999994
999,0.7298666666666658
1000,0.7298666666666658
1001,0.716986666666666
1002,0.7255733333333326
1003,0.7255733333333326
1004,0.716986666666666
1005,0.7083999999999995
1006,0.7255733333333326
1007,0.7298666666666658
1008,0.7212799999999994
1009,0.7341599999999991
1010,0.7384533333333325
1011,0.7384533333333325
1012,0.7384533333333325
1013,0.7341599999999991
1014,0.7384533333333325
1015,0.7427466666666657
1016,0.7470399999999989
1017,0.7470399999999989
1018,0.7470399999999989
1019,0.7513333333333323
1020,0.7599199999999988
1021,0.7642133333333321
1022,0.7727999999999986
1023,0.7856799999999985
1024,0.7856799999999985
1025,0.7899733333333318
1026,0.7856799999999985
1027,0.7899733333333318
1028,0.7942666666666649
1029,0.8157333333333314
1030,0.8329066666666645
1031,0.8371999999999977
1032,0.8371999999999977
1033,0.8371999999999977
1034,0.8371999999999977
1035,0.8543733333333309
1036,0.8672533333333308
1037,0.8715466666666639
1038,0.8973066666666635
1039,0.8973066666666635
1040,0.9058933333333302
1041,0.9015999999999968
