,Weekend - Level 1 - Diversified (Median) of 100 EVs
622,0.20240000000000002
623,0.22080000000000002
624,0.22080000000000002
625,0.22080000000000002
626,0.22080000000000002
627,0.22080000000000002
628,0.22080000000000002
629,0.22080000000000002
630,0.22080000000000002
631,0.22080000000000002
632,0.22080000000000002
633,0.22080000000000002
634,0.22080000000000002
635,0.2576
636,0.2576
637,0.2576
638,0.2576
639,0.2576
640,0.2576
641,0.2576
642,0.2576
643,0.2576
644,0.2576
645,0.2576
646,0.2576
647,0.276
648,0.276
649,0.2576
650,0.2944
651,0.2944
652,0.2944
653,0.2944
654,0.2944
655,0.2944
656,0.2944
657,0.2944
658,0.2944
659,0.2944
660,0.33120000000000005
661,0.2944
662,0.2944
663,0.2944
664,0.2944
665,0.3128
666,0.33120000000000005
667,0.33120000000000005
668,0.33120000000000005
669,0.33120000000000005
670,0.33120000000000005
671,0.33120000000000005
672,0.33120000000000005
673,0.33120000000000005
674,0.33120000000000005
675,0.33120000000000005
676,0.33120000000000005
677,0.33120000000000005
678,0.33120000000000005
679,0.36800000000000005
680,0.33120000000000005
681,0.33120000000000005
682,0.33120000000000005
683,0.3496
684,0.36800000000000005
685,0.36800000000000005
686,0.36800000000000005
687,0.36800000000000005
688,0.36800000000000005
689,0.36800000000000005
690,0.36800000000000005
691,0.36800000000000005
692,0.36800000000000005
693,0.36800000000000005
694,0.36800000000000005
695,0.36800000000000005
696,0.36800000000000005
697,0.36800000000000005
698,0.36800000000000005
699,0.36800000000000005
700,0.36800000000000005
701,0.36800000000000005
702,0.36800000000000005
703,0.36800000000000005
704,0.36800000000000005
705,0.36800000000000005
706,0.36800000000000005
707,0.36800000000000005
708,0.36800000000000005
709,0.36800000000000005
710,0.36800000000000005
711,0.36800000000000005
712,0.3496
713,0.3496
714,0.36800000000000005
715,0.36800000000000005
716,0.36800000000000005
717,0.36800000000000005
718,0.36800000000000005
719,0.36800000000000005
720,0.36800000000000005
721,0.36800000000000005
722,0.36800000000000005
723,0.36800000000000005
724,0.40480000000000005
725,0.40480000000000005
726,0.40480000000000005
727,0.40480000000000005
728,0.40480000000000005
729,0.40480000000000005
730,0.40480000000000005
731,0.40480000000000005
732,0.4232
733,0.4232
734,0.4232
735,0.44160000000000005
736,0.44160000000000005
737,0.44160000000000005
738,0.44160000000000005
739,0.44160000000000005
740,0.44160000000000005
741,0.4232
742,0.4232
743,0.40480000000000005
744,0.44160000000000005
745,0.44160000000000005
746,0.44160000000000005
747,0.44160000000000005
748,0.44160000000000005
749,0.44160000000000005
750,0.44160000000000005
751,0.44160000000000005
752,0.44160000000000005
753,0.44160000000000005
754,0.40480000000000005
755,0.4232
756,0.4232
757,0.44160000000000005
758,0.44160000000000005
759,0.44160000000000005
760,0.44160000000000005
761,0.44160000000000005
762,0.44160000000000005
763,0.44160000000000005
764,0.4600000000000001
765,0.47840000000000005
766,0.47840000000000005
767,0.47840000000000005
768,0.47840000000000005
769,0.47840000000000005
770,0.47840000000000005
771,0.47840000000000005
772,0.47840000000000005
773,0.47840000000000005
774,0.47840000000000005
775,0.47840000000000005
776,0.4600000000000001
777,0.44160000000000005
778,0.47840000000000005
779,0.47840000000000005
780,0.47840000000000005
781,0.47840000000000005
782,0.47840000000000005
783,0.47840000000000005
784,0.5152
785,0.5152
786,0.5152
787,0.5152
788,0.47840000000000005
789,0.47840000000000005
790,0.5152
791,0.47840000000000005
792,0.47840000000000005
793,0.47840000000000005
794,0.5152
795,0.5152
796,0.5152
797,0.5152
798,0.5152
799,0.5152
800,0.5152
801,0.552
802,0.5336000000000001
803,0.552
804,0.552
805,0.552
806,0.5336000000000001
807,0.5336000000000001
808,0.5152
809,0.5152
810,0.5152
811,0.5152
812,0.5152
813,0.5152
814,0.552
815,0.5336000000000001
816,0.552
817,0.552
818,0.552
819,0.552
820,0.552
821,0.552
822,0.552
823,0.552
824,0.552
825,0.5704
826,0.5888
827,0.5888
828,0.5888
829,0.552
830,0.552
831,0.5888
832,0.552
833,0.552
834,0.552
835,0.552
836,0.552
837,0.552
838,0.552
839,0.552
840,0.552
841,0.552
842,0.552
843,0.552
844,0.552
845,0.552
846,0.552
847,0.552
848,0.552
849,0.552
850,0.552
851,0.552
852,0.552
853,0.552
854,0.552
855,0.552
856,0.552
857,0.5152
858,0.552
859,0.552
860,0.552
861,0.552
862,0.552
863,0.552
864,0.552
865,0.5704
866,0.552
867,0.5704
868,0.552
869,0.552
870,0.552
871,0.552
872,0.552
873,0.552
874,0.5704
875,0.5888
876,0.5888
877,0.5888
878,0.5704
879,0.552
880,0.552
881,0.552
882,0.552
883,0.5704
884,0.552
885,0.552
886,0.552
887,0.552
888,0.552
889,0.552
890,0.552
891,0.5704
892,0.5888
893,0.5888
894,0.5704
895,0.5888
896,0.5704
897,0.5888
898,0.5704
899,0.5888
900,0.552
901,0.5888
902,0.5888
903,0.552
904,0.5704
905,0.5704
906,0.5704
907,0.5704
908,0.552
909,0.552
910,0.552
911,0.552
912,0.552
913,0.552
914,0.552
915,0.5888
916,0.5704
917,0.5888
918,0.5888
919,0.5888
920,0.5888
921,0.5888
922,0.5704
923,0.552
924,0.5704
925,0.5888
926,0.5888
927,0.5888
928,0.5888
929,0.5888
930,0.5888
931,0.5888
932,0.5888
933,0.5888
934,0.5888
935,0.6256
936,0.6256
937,0.6072
938,0.6072
939,0.5888
940,0.6256
941,0.5888
942,0.6072
943,0.5888
944,0.6256
945,0.5888
946,0.5888
947,0.5888
948,0.5888
949,0.5888
950,0.5888
951,0.5888
952,0.5888
953,0.5888
954,0.5888
955,0.5888
956,0.5888
957,0.5888
958,0.5888
959,0.5888
960,0.6072
961,0.6072
962,0.6256
963,0.6256
964,0.6256
965,0.6256
966,0.6256
967,0.6256
968,0.6624000000000001
969,0.6624000000000001
970,0.6440000000000001
971,0.6440000000000001
972,0.6440000000000001
973,0.6440000000000001
974,0.6256
975,0.6256
976,0.6256
977,0.6256
978,0.6256
979,0.6256
980,0.6624000000000001
981,0.6624000000000001
982,0.6256
983,0.6256
984,0.6256
985,0.6624000000000001
986,0.6440000000000001
987,0.6624000000000001
988,0.6624000000000001
989,0.6624000000000001
990,0.6624000000000001
991,0.6624000000000001
992,0.6624000000000001
993,0.6624000000000001
994,0.6624000000000001
995,0.6624000000000001
