,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs
433,0.025759999999999998
434,0.025759999999999998
435,0.025759999999999998
436,0.025759999999999998
437,0.025759999999999998
438,0.025759999999999998
439,0.025759999999999998
440,0.025759999999999998
441,0.025759999999999998
442,0.025759999999999998
443,0.025759999999999998
444,0.025759999999999998
445,0.025759999999999998
446,0.025759999999999998
447,0.025759999999999998
448,0.025759999999999998
449,0.025759999999999998
450,0.025759999999999998
451,0.025759999999999998
452,0.025759999999999998
453,0.025759999999999998
454,0.025759999999999998
455,0.025759999999999998
456,0.025759999999999998
457,0.025759999999999998
458,0.025759999999999998
459,0.025759999999999998
460,0.051519999999999996
461,0.051519999999999996
462,0.051519999999999996
463,0.051519999999999996
464,0.051519999999999996
465,0.051519999999999996
466,0.051519999999999996
467,0.051519999999999996
468,0.051519999999999996
469,0.051519999999999996
470,0.051519999999999996
471,0.051519999999999996
472,0.051519999999999996
473,0.051519999999999996
474,0.051519999999999996
475,0.051519999999999996
476,0.051519999999999996
477,0.051519999999999996
478,0.051519999999999996
479,0.051519999999999996
480,0.051519999999999996
481,0.051519999999999996
482,0.051519999999999996
483,0.051519999999999996
484,0.051519999999999996
485,0.051519999999999996
486,0.051519999999999996
487,0.051519999999999996
488,0.051519999999999996
489,0.051519999999999996
490,0.051519999999999996
491,0.051519999999999996
492,0.051519999999999996
493,0.051519999999999996
494,0.051519999999999996
495,0.051519999999999996
496,0.051519999999999996
497,0.051519999999999996
498,0.051519999999999996
499,0.051519999999999996
500,0.051519999999999996
501,0.051519999999999996
502,0.051519999999999996
503,0.05796
504,0.05796
505,0.05796
506,0.07728
507,0.07728
508,0.07728
509,0.07728
510,0.07728
511,0.07728
512,0.07728
513,0.07728
514,0.07728
515,0.07728
516,0.07728
517,0.07728
518,0.07728
519,0.07728
520,0.07728
521,0.07728
522,0.07728
523,0.07728
524,0.07728
525,0.07728
526,0.07728
527,0.07728
528,0.07728
529,0.10303999999999999
530,0.10303999999999999
531,0.10303999999999999
532,0.10303999999999999
533,0.10303999999999999
534,0.10303999999999999
535,0.10303999999999999
536,0.10303999999999999
537,0.10303999999999999
538,0.10303999999999999
539,0.10303999999999999
540,0.10303999999999999
541,0.10303999999999999
542,0.10303999999999999
543,0.10303999999999999
544,0.10303999999999999
545,0.10303999999999999
546,0.10303999999999999
547,0.10303999999999999
548,0.1288
549,0.1288
550,0.1288
551,0.1288
552,0.1288
553,0.1288
554,0.1288
555,0.1288
556,0.1288
557,0.1288
558,0.1288
559,0.1288
560,0.1288
561,0.1288
562,0.1288
563,0.1288
564,0.1288
565,0.1288
566,0.1288
567,0.1288
568,0.1288
569,0.1288
570,0.1288
571,0.1288
572,0.1288
573,0.1288
574,0.1288
575,0.15456
576,0.1288
577,0.1288
578,0.1288
579,0.1288
580,0.1288
581,0.1288
582,0.1288
583,0.15456
584,0.15456
585,0.15456
586,0.1288
587,0.1288
588,0.1288
589,0.1288
590,0.1288
591,0.1288
592,0.13524
593,0.13524
594,0.1288
595,0.1288
596,0.1288
597,0.1288
598,0.1288
599,0.1288
600,0.1288
601,0.1288
602,0.1288
603,0.1288
604,0.1288
605,0.1288
606,0.1288
607,0.1288
608,0.15456
609,0.15456
610,0.15456
611,0.15456
612,0.15456
613,0.15456
614,0.15456
615,0.15456
616,0.15456
617,0.15456
618,0.15456
619,0.15456
620,0.15456
621,0.15456
622,0.15456
623,0.15456
624,0.15456
625,0.15456
626,0.15456
627,0.15456
628,0.15456
629,0.15456
630,0.15456
631,0.15456
632,0.15456
633,0.15456
634,0.15456
635,0.1288
636,0.1288
637,0.1288
638,0.1288
639,0.1288
640,0.15456
641,0.15456
642,0.15456
643,0.15456
644,0.15456
645,0.15456
646,0.15456
647,0.15456
648,0.15456
649,0.15456
650,0.15456
651,0.15456
652,0.15456
653,0.15456
654,0.15456
655,0.15456
656,0.15456
657,0.15456
658,0.15456
659,0.15456
660,0.15456
661,0.15456
662,0.15456
663,0.13524
664,0.13524
665,0.15456
666,0.15456
667,0.1288
668,0.1288
669,0.1288
670,0.1288
671,0.1288
672,0.1288
673,0.1288
674,0.1288
675,0.1288
676,0.1288
677,0.1288
678,0.1288
679,0.1288
680,0.1288
681,0.1288
682,0.1288
683,0.1288
684,0.1288
685,0.1288
686,0.1288
687,0.15456
688,0.15456
689,0.15456
690,0.15456
691,0.15456
692,0.15456
693,0.15456
694,0.15456
695,0.15456
696,0.15456
697,0.15456
698,0.15456
699,0.15456
700,0.15456
701,0.15456
702,0.15456
703,0.15456
704,0.15456
705,0.15456
706,0.15456
707,0.15456
708,0.15456
709,0.15456
710,0.15456
711,0.15456
712,0.15456
713,0.15456
714,0.15456
715,0.15456
716,0.15456
717,0.15456
718,0.15456
719,0.15456
720,0.15456
721,0.15456
722,0.16099999999999998
723,0.16099999999999998
724,0.16099999999999998
725,0.16099999999999998
726,0.16099999999999998
727,0.16099999999999998
728,0.16099999999999998
729,0.16099999999999998
730,0.16099999999999998
731,0.18031999999999998
732,0.18031999999999998
733,0.18031999999999998
734,0.18031999999999998
735,0.18031999999999998
736,0.18031999999999998
737,0.18031999999999998
738,0.18031999999999998
739,0.18031999999999998
740,0.18031999999999998
741,0.18031999999999998
742,0.18031999999999998
743,0.18031999999999998
744,0.18031999999999998
745,0.18031999999999998
746,0.18031999999999998
747,0.18031999999999998
748,0.18031999999999998
749,0.18031999999999998
750,0.18031999999999998
751,0.18031999999999998
752,0.18031999999999998
753,0.18031999999999998
754,0.18031999999999998
755,0.20607999999999999
756,0.20607999999999999
757,0.18675999999999998
758,0.20607999999999999
759,0.20607999999999999
760,0.20607999999999999
761,0.20607999999999999
762,0.20607999999999999
763,0.20607999999999999
764,0.20607999999999999
765,0.20607999999999999
766,0.20607999999999999
767,0.20607999999999999
768,0.20607999999999999
769,0.20607999999999999
770,0.20607999999999999
771,0.20607999999999999
772,0.20607999999999999
773,0.20607999999999999
774,0.20607999999999999
775,0.20607999999999999
776,0.20607999999999999
777,0.20607999999999999
778,0.20607999999999999
779,0.20607999999999999
780,0.20607999999999999
781,0.20607999999999999
782,0.20607999999999999
783,0.23184000000000002
784,0.23184000000000002
785,0.23184000000000002
786,0.23184000000000002
787,0.23184000000000002
788,0.23184000000000002
789,0.23184000000000002
790,0.23184000000000002
791,0.23184000000000002
792,0.23184000000000002
793,0.23184000000000002
794,0.23184000000000002
