,Weekend - Level 1 - Diversified (75th percentile) of 100 EVs
590,0.18400000000000002
591,0.18400000000000002
592,0.18400000000000002
593,0.18400000000000002
594,0.18400000000000002
595,0.18400000000000002
596,0.18400000000000002
597,0.18400000000000002
598,0.18400000000000002
599,0.1932
600,0.22080000000000002
601,0.22080000000000002
602,0.22080000000000002
603,0.22080000000000002
604,0.22080000000000002
605,0.22080000000000002
606,0.22080000000000002
607,0.22080000000000002
608,0.22080000000000002
609,0.22080000000000002
610,0.22080000000000002
611,0.22080000000000002
612,0.22080000000000002
613,0.22080000000000002
614,0.22080000000000002
615,0.23000000000000004
616,0.23000000000000004
617,0.23000000000000004
618,0.23000000000000004
619,0.2576
620,0.2576
621,0.2576
622,0.2576
623,0.2576
624,0.2576
625,0.2944
626,0.2944
627,0.2944
628,0.2944
629,0.2944
630,0.2944
631,0.2944
632,0.2944
633,0.2944
634,0.3036
635,0.33120000000000005
636,0.33120000000000005
637,0.33120000000000005
638,0.33120000000000005
639,0.33120000000000005
640,0.33120000000000005
641,0.33120000000000005
642,0.33120000000000005
643,0.33120000000000005
644,0.33120000000000005
645,0.33120000000000005
646,0.33120000000000005
647,0.33120000000000005
648,0.34040000000000004
649,0.36800000000000005
650,0.36800000000000005
651,0.36800000000000005
652,0.36800000000000005
653,0.34040000000000004
654,0.34040000000000004
655,0.34040000000000004
656,0.34040000000000004
657,0.36800000000000005
658,0.36800000000000005
659,0.36800000000000005
660,0.36800000000000005
661,0.36800000000000005
662,0.36800000000000005
663,0.36800000000000005
664,0.36800000000000005
665,0.40480000000000005
666,0.40480000000000005
667,0.40480000000000005
668,0.40480000000000005
669,0.40480000000000005
670,0.40480000000000005
671,0.40480000000000005
672,0.40480000000000005
673,0.40480000000000005
674,0.40480000000000005
675,0.40480000000000005
676,0.40480000000000005
677,0.40480000000000005
678,0.40480000000000005
679,0.41400000000000003
680,0.40480000000000005
681,0.40480000000000005
682,0.40480000000000005
683,0.41400000000000003
684,0.41400000000000003
685,0.44160000000000005
686,0.44160000000000005
687,0.40480000000000005
688,0.40480000000000005
689,0.44160000000000005
690,0.41400000000000003
691,0.40480000000000005
692,0.40480000000000005
693,0.44160000000000005
694,0.44160000000000005
695,0.44160000000000005
696,0.4508000000000001
697,0.4508000000000001
698,0.47840000000000005
699,0.47840000000000005
700,0.4508000000000001
701,0.44160000000000005
702,0.47840000000000005
703,0.47840000000000005
704,0.47840000000000005
705,0.47840000000000005
706,0.47840000000000005
707,0.47840000000000005
708,0.47840000000000005
709,0.47840000000000005
710,0.44160000000000005
711,0.44160000000000005
712,0.44160000000000005
713,0.44160000000000005
714,0.44160000000000005
715,0.4508000000000001
716,0.47840000000000005
717,0.47840000000000005
718,0.47840000000000005
719,0.47840000000000005
720,0.47840000000000005
721,0.4508000000000001
722,0.44160000000000005
723,0.44160000000000005
724,0.47840000000000005
725,0.47840000000000005
726,0.47840000000000005
727,0.47840000000000005
728,0.47840000000000005
729,0.47840000000000005
730,0.47840000000000005
731,0.47840000000000005
732,0.47840000000000005
733,0.48760000000000003
734,0.48760000000000003
735,0.5152
736,0.5152
737,0.5152
738,0.5152
739,0.5152
740,0.5152
741,0.5152
742,0.5152
743,0.5152
744,0.5152
745,0.5152
746,0.5152
747,0.5152
748,0.5152
749,0.5152
750,0.5152
751,0.5152
752,0.5152
753,0.5152
754,0.5152
755,0.5152
756,0.5152
757,0.5152
758,0.5152
759,0.5152
760,0.5152
761,0.5152
762,0.5152
763,0.5152
764,0.5152
765,0.5244
766,0.552
767,0.552
768,0.552
769,0.552
770,0.552
771,0.552
772,0.552
773,0.552
774,0.552
775,0.552
776,0.552
777,0.552
778,0.552
779,0.552
780,0.5612
781,0.552
782,0.552
783,0.552
784,0.552
785,0.5612
786,0.552
787,0.5888
788,0.5888
789,0.5888
790,0.5888
791,0.5888
792,0.5888
793,0.5888
794,0.5888
795,0.5888
796,0.5888
797,0.5888
798,0.5888
799,0.5888
800,0.6256
801,0.6256
802,0.6256
803,0.6256
804,0.6256
805,0.6256
806,0.598
807,0.5888
808,0.5888
809,0.5888
810,0.5888
811,0.598
812,0.6256
813,0.6256
814,0.6348
815,0.6256
816,0.6624000000000001
817,0.6624000000000001
818,0.6624000000000001
819,0.6624000000000001
820,0.6624000000000001
821,0.6624000000000001
822,0.6624000000000001
823,0.6624000000000001
824,0.6256
825,0.6624000000000001
826,0.6624000000000001
827,0.6624000000000001
828,0.6348
829,0.6348
830,0.6348
831,0.6348
832,0.6256
833,0.6256
834,0.6256
835,0.6256
836,0.6256
837,0.6256
838,0.6256
839,0.6348
840,0.6624000000000001
841,0.6624000000000001
842,0.6256
843,0.6624000000000001
844,0.6624000000000001
845,0.6624000000000001
846,0.6624000000000001
847,0.6624000000000001
848,0.6624000000000001
849,0.6624000000000001
850,0.6624000000000001
851,0.6624000000000001
852,0.6624000000000001
853,0.6256
854,0.6256
855,0.6624000000000001
856,0.6256
857,0.6256
858,0.6256
859,0.6256
860,0.6256
861,0.6348
862,0.6624000000000001
863,0.6624000000000001
864,0.6624000000000001
865,0.6624000000000001
866,0.6624000000000001
867,0.6624000000000001
868,0.6624000000000001
869,0.6624000000000001
870,0.6624000000000001
871,0.6624000000000001
872,0.6624000000000001
873,0.6624000000000001
874,0.6624000000000001
875,0.6624000000000001
876,0.6624000000000001
877,0.6624000000000001
878,0.6624000000000001
879,0.6624000000000001
880,0.6624000000000001
881,0.6624000000000001
882,0.6624000000000001
883,0.6624000000000001
884,0.6624000000000001
885,0.6624000000000001
886,0.6624000000000001
887,0.6624000000000001
888,0.6624000000000001
889,0.6624000000000001
890,0.6624000000000001
891,0.6624000000000001
892,0.6716000000000001
893,0.6992000000000002
894,0.6624000000000001
895,0.6624000000000001
896,0.6624000000000001
897,0.6624000000000001
898,0.6624000000000001
899,0.6624000000000001
900,0.6624000000000001
901,0.6624000000000001
902,0.6624000000000001
903,0.6624000000000001
904,0.6716000000000001
905,0.6716000000000001
906,0.6716000000000001
907,0.6624000000000001
908,0.6624000000000001
909,0.6348
910,0.6624000000000001
911,0.6348
912,0.6256
913,0.6624000000000001
914,0.6624000000000001
915,0.6624000000000001
916,0.6624000000000001
917,0.6992000000000002
918,0.6992000000000002
919,0.6992000000000002
920,0.6624000000000001
921,0.6624000000000001
922,0.6624000000000001
923,0.6624000000000001
924,0.6624000000000001
925,0.6716000000000001
926,0.6716000000000001
927,0.6992000000000002
928,0.6624000000000001
929,0.6624000000000001
930,0.6624000000000001
931,0.6624000000000001
932,0.6624000000000001
933,0.6624000000000001
934,0.6716000000000001
935,0.6992000000000002
936,0.6992000000000002
937,0.6992000000000002
938,0.6992000000000002
939,0.6992000000000002
940,0.6992000000000002
941,0.6992000000000002
942,0.7084000000000001
943,0.7084000000000001
944,0.6992000000000002
945,0.6992000000000002
946,0.6992000000000002
947,0.6992000000000002
948,0.6992000000000002
949,0.6716000000000001
950,0.6992000000000002
951,0.6992000000000002
952,0.6992000000000002
953,0.6992000000000002
954,0.6992000000000002
955,0.6992000000000002
956,0.6992000000000002
957,0.6992000000000002
958,0.6992000000000002
959,0.6992000000000002
960,0.6992000000000002
961,0.6992000000000002
962,0.7084000000000001
963,0.6992000000000002
964,0.6992000000000002
965,0.6992000000000002
966,0.6992000000000002
967,0.7360000000000002
968,0.7360000000000002
969,0.7360000000000002
970,0.7084000000000001
971,0.7360000000000002
972,0.7360000000000002
973,0.7360000000000002
974,0.7360000000000002
975,0.7360000000000002
976,0.7360000000000002
977,0.7360000000000002
978,0.7360000000000002
979,0.7360000000000002
980,0.7360000000000002
981,0.7360000000000002
982,0.7360000000000002
983,0.7360000000000002
984,0.7360000000000002
985,0.7360000000000002
986,0.7360000000000002
987,0.7360000000000002
988,0.7360000000000002
989,0.7360000000000002
990,0.7360000000000002
991,0.7360000000000002
992,0.7728000000000003
993,0.7360000000000002
994,0.7360000000000002
995,0.7728000000000003
996,0.7728000000000003
997,0.7728000000000003
998,0.7728000000000003
999,0.7728000000000003
1000,0.7728000000000003
1001,0.7728000000000003
1002,0.7728000000000003
1003,0.7728000000000003
1004,0.7728000000000003
1005,0.7728000000000003
1006,0.7728000000000003
1007,0.7728000000000003
1008,0.7728000000000003
1009,0.7728000000000003
1010,0.7728000000000003
1011,0.7728000000000003
1012,0.8096000000000003
1013,0.8096000000000003
1014,0.8096000000000003
1015,0.8096000000000003
1016,0.8096000000000003
1017,0.8096000000000003
1018,0.8096000000000003
1019,0.8096000000000003
1020,0.8096000000000003
1021,0.8096000000000003
1022,0.8096000000000003
1023,0.8096000000000003
1024,0.8096000000000003
1025,0.8096000000000003
1026,0.8096000000000003
1027,0.8096000000000003
1028,0.8096000000000003
1029,0.8096000000000003
1030,0.8096000000000003
1031,0.8096000000000003
1032,0.8096000000000003
1033,0.8096000000000003
1034,0.8096000000000003
1035,0.8096000000000003
1036,0.8096000000000003
1037,0.8464000000000005
1038,0.8464000000000005
1039,0.8464000000000005
1040,0.8464000000000005
1041,0.8464000000000005
1042,0.8464000000000005
1043,0.8096000000000003
1044,0.8096000000000003
1045,0.8464000000000005
1046,0.8464000000000005
1047,0.8464000000000005
1048,0.8464000000000005
1049,0.8832000000000005
1050,0.8832000000000005
1051,0.8832000000000005
1052,0.8832000000000005
1053,0.8832000000000005
1054,0.8832000000000005
1055,0.8832000000000005
1056,0.8832000000000005
1057,0.8832000000000005
1058,0.8832000000000005
1059,0.8832000000000005
1060,0.8832000000000005
1061,0.8924000000000005
1062,0.8924000000000005
1063,0.8832000000000005
1064,0.8832000000000005
1065,0.9200000000000006
1066,0.8832000000000005
1067,0.8832000000000005
1068,0.8832000000000005
1069,0.8832000000000005
1070,0.8832000000000005
1071,0.8832000000000005
1072,0.8832000000000005
1073,0.8464000000000005
1074,0.8556000000000005
1075,0.8464000000000005
1076,0.8556000000000005
1077,0.8556000000000005
1078,0.8556000000000005
1079,0.8556000000000005
1080,0.8832000000000005
1081,0.8832000000000005
1082,0.8832000000000005
1083,0.8832000000000005
1084,0.8832000000000005
1085,0.8832000000000005
1086,0.8832000000000005
1087,0.8832000000000005
1088,0.8832000000000005
1089,0.8464000000000005
1090,0.8464000000000005
1091,0.8464000000000005
1092,0.8464000000000005
1093,0.8464000000000005
1094,0.8556000000000005
1095,0.8464000000000005
1096,0.8464000000000005
1097,0.8464000000000005
1098,0.8464000000000005
1099,0.8464000000000005
1100,0.8464000000000005
1101,0.8096000000000003
1102,0.8096000000000003
1103,0.8096000000000003
1104,0.8096000000000003
1105,0.8188000000000003
1106,0.8096000000000003
1107,0.8464000000000005
1108,0.8188000000000003
1109,0.8096000000000003
1110,0.8096000000000003
1111,0.8188000000000003
1112,0.8464000000000005
1113,0.8464000000000005
1114,0.8096000000000003
1115,0.8188000000000003
1116,0.8464000000000005
1117,0.8464000000000005
1118,0.8464000000000005
1119,0.8464000000000005
1120,0.8464000000000005
1121,0.8096000000000003
1122,0.8464000000000005
1123,0.8464000000000005
1124,0.8464000000000005
1125,0.8096000000000003
1126,0.8096000000000003
1127,0.8096000000000003
1128,0.8096000000000003
1129,0.8188000000000003
1130,0.8096000000000003
1131,0.8096000000000003
1132,0.8096000000000003
1133,0.8096000000000003
1134,0.8096000000000003
1135,0.8096000000000003
1136,0.8096000000000003
1137,0.8096000000000003
1138,0.8096000000000003
1139,0.8096000000000003
1140,0.8096000000000003
1141,0.8096000000000003
1142,0.8096000000000003
1143,0.8188000000000003
1144,0.8096000000000003
1145,0.8096000000000003
1146,0.8188000000000003
1147,0.8464000000000005
1148,0.8464000000000005
1149,0.8464000000000005
1150,0.8464000000000005
1151,0.8188000000000003
1152,0.8188000000000003
1153,0.8464000000000005
1154,0.8464000000000005
1155,0.8464000000000005
1156,0.8464000000000005
1157,0.8188000000000003
1158,0.8464000000000005
1159,0.8464000000000005
1160,0.8464000000000005
1161,0.8464000000000005
1162,0.8464000000000005
1163,0.8096000000000003
